analysis_index	analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	source_file	source_url	source_bundle_id	downloaded_file	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	first_author	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build
0	GCST003566	GCST003566	Multiple sclerosis	Multiple sclerosis	multiple sclerosis	MONDO:0005301	source_provided	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-pilot-10/download/GCST003566.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST003001-GCST004000/GCST003566/harmonised/GCST003566.h.tsv.gz		GCST003566.h.tsv.gz	9f524473cb682267a0d5e60f18c91bdf24cf8ada3f8daa76895e606fafc6eee1	sha256	252658950	GRCh38	EBI GWAS Catalog terms of use		27386562		Andlauer TF	European	European	source_trusted_no_af	log_or		binary_trait	log_or	case_control	analysis_level	15283	4888	10395	gwas-catalog-eur-hybrid-pilot10	excluded_2026-08-22: effect_allele_frequency reported against the other allele (r=-0.999 vs EUR panel and vs the other nine studies); opengwasdb#115	true
1	GCST005076	GCST005076	Breast cancer (estrogen-receptor negative)	Breast cancer (estrogen-receptor negative)	estrogen-receptor negative breast cancer	MONDO:0006513	source_provided	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-pilot-10/download/GCST005076.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005076/harmonised/GCST005076.h.tsv.gz		GCST005076.h.tsv.gz	0eae1cb5fd7b82ed68295be2207f1d76bfd5e7000d5a67818f8ab63a14e6ede8	sha256	408053935	GRCh38	EBI GWAS Catalog terms of use		29058716		Milne RL	European	European	source_trusted_no_af	log_or		binary_trait	log_or	case_control	analysis_level	72261	14135	58126	gwas-catalog-eur-hybrid-pilot10	first_10_case_control_eur_hybrid_pilot	
2	GCST006465	GCST006465	Endometrial cancer (endometrioid histology)	Endometrial cancer (endometrioid histology)	endometrial carcinoma	MONDO:0002447	source_provided	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-pilot-10/download/GCST006465.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006465/harmonised/GCST006465.h.tsv.gz		GCST006465.h.tsv.gz	b123aee31a17ef995c61d7b3ad468149510b58e4961915987ee0c310fa95eca5	sha256	281224714	GRCh38	EBI GWAS Catalog terms of use		30093612		O'Mara TA	European	European	source_trusted_no_af	log_or		binary_trait	log_or	case_control	analysis_level	54884	8758	46126	gwas-catalog-eur-hybrid-pilot10	first_10_case_control_eur_hybrid_pilot	
3	GCST007320	GCST007320	Alzheimer's disease or family history of Alzheimer's disease	Alzheimer's disease or family history of Alzheimer's disease	Alzheimer disease, family history of Alzheimer’s disease	EFO:0009268	source_provided	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-pilot-10/download/GCST007320.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST007001-GCST008000/GCST007320/harmonised/GCST007320.h.tsv.gz		GCST007320.h.tsv.gz	caa77c731f63e0ba3a3899dfa7b2c90d148a381e139a10c9dc95ced36442c018	sha256	496518070	GRCh38	EBI GWAS Catalog terms of use		30617256		Jansen IE	European	European	source_trusted_no_af	log_or		binary_trait	log_or	case_control	analysis_level	455258	24087	383378	gwas-catalog-eur-hybrid-pilot10	first_10_case_control_eur_hybrid_pilot	
4	GCST007435	GCST007435	Carotid plaque	Carotid plaque	carotid atherosclerosis	EFO:0009783	source_provided	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-pilot-10/download/GCST007435.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST007001-GCST008000/GCST007435/harmonised/GCST007435.h.tsv.gz		GCST007435.h.tsv.gz	145d7abf99ad9ce0dadee5b6b4426804f0cb990b2b41341701e13780c84f254f	sha256	224139034	GRCh38	EBI GWAS Catalog terms of use		30510157		Franceschini N	European	European	source_trusted_no_af	log_or		binary_trait	log_or	case_control	analysis_level	48434	21540	26894	gwas-catalog-eur-hybrid-pilot10	first_10_case_control_eur_hybrid_pilot	
5	GCST009324	GCST009324	Parkinson's disease	Parkinson's disease	Parkinson disease	MONDO:0005180	source_provided	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-pilot-10/download/GCST009324.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST009001-GCST010000/GCST009324/harmonised/GCST009324.h.tsv.gz		GCST009324.h.tsv.gz	58e9282b9e44e1bce41e93712e85a543a4f911c8d8a89071ce3f3af9c01bbef5	sha256	739796926	GRCh38	EBI GWAS Catalog terms of use		31701892		Nalls MA	European	European	source_trusted_no_af	log_or		binary_trait	log_or	case_control	analysis_level	27693	15056	12637	gwas-catalog-eur-hybrid-pilot10	first_10_case_control_eur_hybrid_pilot	
6	GCST009325	GCST009325	Parkinson's disease or first degree relation to individual with Parkinson's disease	Parkinson's disease or first degree relation to individual with Parkinson's disease	Parkinson disease	MONDO:0005180	source_provided	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-pilot-10/download/GCST009325.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST009001-GCST010000/GCST009325/harmonised/GCST009325.h.tsv.gz		GCST009325.h.tsv.gz	cdba56c33e8e17c5088dd06feb79e4ddde8029889a13636103086669e13d4e22	sha256	490619051	GRCh38	EBI GWAS Catalog terms of use		31701892		Nalls MA	European	European	source_trusted_no_af	log_or		binary_trait	log_or	case_control	analysis_level	482730	33674	449056	gwas-catalog-eur-hybrid-pilot10	first_10_case_control_eur_hybrid_pilot	
7	GCST009758	GCST009758	Idiopathic pulmonary fibrosis	Idiopathic pulmonary fibrosis	idiopathic pulmonary fibrosis	EFO:0000768	source_provided	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-pilot-10/download/GCST009758.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST009001-GCST010000/GCST009758/harmonised/GCST009758.h.tsv.gz		GCST009758.h.tsv.gz	f12173aec934302cbaad158ebc653a4737f7643697e65df35d81edc15016f1f3	sha256	412317681	GRCh38	EBI GWAS Catalog terms of use		31710517		Allen RJ	European	European	source_trusted_no_af	log_or		binary_trait	log_or	case_control	analysis_level	11259	2668	8591	gwas-catalog-eur-hybrid-pilot10	first_10_case_control_eur_hybrid_pilot	
8	GCST009925	GCST009925	Fecal incontinence	Fecal incontinence	fecal incontinence	EFO:0009523	source_provided	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-pilot-10/download/GCST009925.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST009001-GCST010000/GCST009925/harmonised/GCST009925.h.tsv.gz		GCST009925.h.tsv.gz	922866afa2906231c79033c9c100efca92e5b7ae25228bc900f2d44a943da8d6	sha256	181903862	GRCh38	EBI GWAS Catalog terms of use		31729902		Penney KL	European	European	source_trusted_no_af	log_or		binary_trait	log_or	case_control	analysis_level	15881	4247	11634	gwas-catalog-eur-hybrid-pilot10	first_10_case_control_eur_hybrid_pilot	
9	GCST009926	GCST009926	Urgency urinary incontinence	Urgency urinary incontinence	urgency urinary incontinence	EFO:0006865	source_provided	/data/opengwasdb/gwas-catalog-eur-hybrid/releases/eur-hybrid-pilot-10/download/GCST009926.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST009001-GCST010000/GCST009926/harmonised/GCST009926.h.tsv.gz		GCST009926.h.tsv.gz	71ff7c7b2e32f95de318603ee07ae0b49fda985ebe7fa437db35a6978f496709	sha256	152504888	GRCh38	EBI GWAS Catalog terms of use		31729902		Penney KL	European	European	source_trusted_no_af	log_or		binary_trait	log_or	case_control	analysis_level	6753	1942	4811	gwas-catalog-eur-hybrid-pilot10	first_10_case_control_eur_hybrid_pilot	
