analysis_index	analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	source_file	source_bundle_id	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	first_author	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build
0	ukb-b-19953	ukb-b-19953	Body mass index (BMI)	Body mass index (BMI)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-19953.vcf.gz				301973629	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	461460			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1	ukb-b-20175	ukb-b-20175	Systolic blood pressure, automated reading	Systolic blood pressure, automated reading			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-20175.vcf.gz				301680884	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	436419			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
2	ukb-b-7992	ukb-b-7992	Diastolic blood pressure, automated reading	Diastolic blood pressure, automated reading			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7992.vcf.gz				301712807	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	436424			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
3	ukb-b-18103	ukb-b-18103	Pulse rate, automated reading	Pulse rate, automated reading			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-18103.vcf.gz				301668916	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	436424			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
4	ukb-b-7953	ukb-b-7953	Forced vital capacity (FVC)	Forced vital capacity (FVC)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-7953.vcf.gz				301734088	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	421986			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
5	ukb-b-13806	ukb-b-13806	Non-cancer illness code, self-reported: type 2 diabetes	Non-cancer illness code, self-reported: type 2 diabetes			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13806.vcf.gz				119040334	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	2972	459961	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
6	ukb-b-14057	ukb-b-14057	Non-cancer illness code, self-reported: hypertension	Non-cancer illness code, self-reported: hypertension			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-14057.vcf.gz				280308061	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	119731	343202	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
7	ukb-b-15829	ukb-b-15829	Non-cancer illness code, self-reported: heart attack/myocardial infarction	Non-cancer illness code, self-reported: heart attack/myocardial infarction			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-15829.vcf.gz				182123876	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	10616	452317	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
8	ukb-b-18113	ukb-b-18113	Non-cancer illness code, self-reported: asthma	Non-cancer illness code, self-reported: asthma			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-18113.vcf.gz				254896622	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	53598	409335	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
9	ukb-b-13423	ukb-b-13423	Breastfed as a baby	Breastfed as a baby			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13423.vcf.gz				294732813	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	352094	251150	100944	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
