analysis_id	status	source_url	source_file	source_etag	size_bytes	checksum_algorithm	checksum	error	notes
finngen-r13-BMI_IRN	cached	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_BMI_IRN.gz	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_BMI_IRN.gz		604052556	sha256	ecb3d5b6b401df2f64dfda205b7731b77fdb5458bb8e7cde1ed3e4b5fb621d42	checksum verified
finngen-r13-HEIGHT_IRN	cached	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_HEIGHT_IRN.gz	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_HEIGHT_IRN.gz		604397516	sha256	368039c71651fcfadf9ec7624a20621e70e91e14b14abacb91d5faf93b1ee067	checksum verified
finngen-r13-WEIGHT_IRN	cached	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_WEIGHT_IRN.gz	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_WEIGHT_IRN.gz		604102129	sha256	4f88bd5c4b1dfecefd4f1c6798a12ae9bebb7b2f2ce8cc95bc47364037bbcd02	checksum verified
finngen-r13-RX_PARACETAMOL_NSAID	cached	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_RX_PARACETAMOL_NSAID.gz	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_RX_PARACETAMOL_NSAID.gz		809671677	sha256	03d7678e20a1058ef90869e39bcab15dfb0c4977676a14200a0619f14a24640f	checksum verified
finngen-r13-K11_ORAL	cached	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_K11_ORAL.gz	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_K11_ORAL.gz		811249053	sha256	25c18452e1666a50cd4b6361fd7b7eaacaefd5127d451dfc9f3d802ed376a5c0	checksum verified
finngen-r13-FG_CVD	cached	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_FG_CVD.gz	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_FG_CVD.gz		810478891	sha256	e76c805358d6d373f476327c9e13c974f73a836af144cc23a42d3c80238ba1ec	checksum verified
finngen-r13-PAIN	cached	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_PAIN.gz	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_PAIN.gz		811191160	sha256	299f640cd5b8983cb0e20de89d2b61f48ab525bd04966a2d268d53530e04eab5	checksum verified
finngen-r13-AB1_INFECT_PARASIT_WIDE	cached	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_INFECT_PARASIT_WIDE.gz	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_AB1_INFECT_PARASIT_WIDE.gz		810405805	sha256	cee040747195fcbf58865509f533d1e48b0e5c1f9eb69415d642f23f062552e6	checksum verified
finngen-r13-RX_STATIN	cached	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_RX_STATIN.gz	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_RX_STATIN.gz		811425653	sha256	9eb5c0aa79029e3b79a6c9b41a7ff02a073553011445bd90c35fbda638a9de52	checksum verified
finngen-r13-M13_ARTHROPATHIES	resumed	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_M13_ARTHROPATHIES.gz	/data/opengwasdb/finngen-r13/releases/r13-pilot-20/source/finngen_R13_M13_ARTHROPATHIES.gz	"""7b714710e763cc41f0d12ddbb82b331f"""	810994536	sha256	924ad6e8f8ddda2dd43f70c7d8f964adcb13ff144c4ffc34de2ab349bec0a184	checksum verified
